,sources,targets,q_total,IndexAvg,weights
357,Netherlands,Bosnia Herzegovina,0.091,1.69,36637.42799999999
358,"Norway, Svalbard and Jan Mayen",Bosnia Herzegovina,0.867,1.73,2245.9860000000003
359,Philippines,Bosnia Herzegovina,0.004,-0.37,4481.732
360,Poland,Bosnia Herzegovina,0.282,0.71,21556.831
361,Serbia,Bosnia Herzegovina,0.42899999999999994,-0.32,640.7230000000002
362,India,Bosnia Herzegovina,0.021,-0.23,12479.099999999999
363,Singapore,Bosnia Herzegovina,0.003,1.52,57683.688
364,Slovakia,Bosnia Herzegovina,0.016,0.7,1870.2870000000003
365,Viet Nam,Bosnia Herzegovina,0.033,-0.48,5188.044
366,Slovenia,Bosnia Herzegovina,1.3519999999999999,0.97,761.7780000000001
367,Spain,Bosnia Herzegovina,1.2719999999999998,0.95,7276.441000000001
368,Sweden,Bosnia Herzegovina,0.013999999999999999,1.73,8622.961
369,"Switzerland, Liechtenstein",Bosnia Herzegovina,0.32499999999999996,1.75,3995.692
370,"Switzerland, Liechtenstein",Bosnia Herzegovina,0.32499999999999996,1.54,3995.692
371,Turkey,Bosnia Herzegovina,0.14500000000000002,-0.2,7544.607
372,United Kingdom,Bosnia Herzegovina,0.095,1.46,34960.074
373,China,Botswana,47.531,-0.49,411379.754
374,Denmark,Botswana,0.007,1.78,7989.049999999999
375,Germany,Botswana,0.012,1.49,23017.288
376,Japan,Botswana,0.023,1.23,69993.533
377,South Africa,Botswana,20523.431,0.29,58175.628000000004
378,"Switzerland, Liechtenstein",Botswana,0.009,1.75,3995.692
379,"Switzerland, Liechtenstein",Botswana,0.009,1.54,3995.692
380,United Kingdom,Botswana,0.48,1.46,34960.074
381,Argentina,Brazil,0.032,-0.19,847.389
382,Australia,Brazil,0.009000000000000001,1.58,6158.040999999998
383,Austria,Brazil,0.148,1.55,3394.051
384,Belgium,Brazil,0.027,1.31,12239.12
385,Plurinational State of Bolivia,Brazil,0.036000000000000004,-0.52,42.587
386,British Virgin Islands,Brazil,0.097,,0.479
387,Bulgaria,Brazil,0.013000000000000001,0.18,1117.8220000000001
388,Canada,Brazil,0.199,1.62,17531.729000000003
389,Chile,Brazil,0.197,1.12,1175.6370000000002
390,China,Brazil,13438.632,-0.49,411379.754
391,Colombia,Brazil,0.013,-0.38,582.9689999999999
392,Czechia,Brazil,0.025,0.9,4658.562
393,Denmark,Brazil,0.352,1.78,7989.049999999999
394,Finland,Brazil,0.049,1.84,2664.9170000000004
395,"France, Monaco",Brazil,4.061999999999999,1.19,14637.760999999999
396,Germany,Brazil,7.758,1.49,23017.288
397,Greece,Brazil,0.009000000000000001,0.5,3915.5150000000003
398,"China, Hong Kong Special Administrative Region",Brazil,64.983,1.35,99971.2
399,Hungary,Brazil,0.003,0.75,2429.925
400,Indonesia,Brazil,89.531,-0.49,25303.601000000002
401,Ireland,Brazil,0.049,1.48,1538.568
402,Israel,Brazil,5.73,0.63,6832.461
403,Italy,Brazil,0.819,0.63,9579.352
404,Japan,Brazil,35.121,1.23,69993.533
405,Republic of Korea,Brazil,4.952,0.75,28784.924
406,Latvia,Brazil,0.07400000000000001,0.67,355.83900000000006
407,Lithuania,Brazil,0.109,0.78,458.13199999999995
408,Malaysia,Brazil,7.282,0.36,23304.784
409,Mexico,Brazil,0.319,-0.17,19859.502
410,"Other Asia, not elsewhere specified",Brazil,7.1129999999999995,,13215.868999999999
411,Netherlands,Brazil,1.072,1.69,36637.42799999999
412,New Zealand,Brazil,0.054000000000000006,1.78,474.91700000000003
413,"Norway, Svalbard and Jan Mayen",Brazil,2.504,1.73,2245.9860000000003
414,Paraguay,Brazil,0.003,-0.65,81.43400000000001
415,Peru,Brazil,0.057,-0.25,201.284
416,Philippines,Brazil,0.027000000000000003,-0.37,4481.732
417,Poland,Brazil,0.076,0.71,21556.831
418,Portugal,Brazil,0.049,1.09,724.57
419,Romania,Brazil,0.489,0.11,5213.838
420,Russian Federation,Brazil,0.014,-0.71,18765.510000000002
421,Saudi Arabia,Brazil,0.01,-0.33,3947.6340000000005
422,Serbia,Brazil,0.002,-0.32,640.7230000000002
423,India,Brazil,0.534,-0.23,12479.099999999999
424,Singapore,Brazil,6.285,1.52,57683.688
425,Slovakia,Brazil,0.009000000000000001,0.7,1870.2870000000003
426,Spain,Brazil,15.878,0.95,7276.441000000001
427,Sweden,Brazil,1.4449999999999998,1.73,8622.961
428,"Switzerland, Liechtenstein",Brazil,1.3039999999999998,1.75,3995.692
429,"Switzerland, Liechtenstein",Brazil,1.3039999999999998,1.54,3995.692
430,Thailand,Brazil,0.7989999999999999,-0.14,5499.867
431,United Arab Emirates,Brazil,0.136,0.55,17822.197999999997
432,United Kingdom,Brazil,3.545,1.46,34960.074
433,Australia,Brunei Darussalam,0.244,1.58,6158.040999999998
434,Belgium,Brunei Darussalam,0.015,1.31,12239.12
435,China,Brunei Darussalam,11.562999999999999,-0.49,411379.754
436,Germany,Brunei Darussalam,0.05,1.49,23017.288
437,"China, Hong Kong Special Administrative Region",Brunei Darussalam,0.467,1.35,99971.2
438,Indonesia,Brunei Darussalam,0.127,-0.49,25303.601000000002
439,Japan,Brunei Darussalam,0.088,1.23,69993.533
440,Republic of Korea,Brunei Darussalam,2.839,0.75,28784.924
441,Malaysia,Brunei Darussalam,0.5860000000000001,0.36,23304.784
442,Netherlands,Brunei Darussalam,0.001,1.69,36637.42799999999
443,Singapore,Brunei Darussalam,9.487,1.52,57683.688
444,Swaziland,Brunei Darussalam,0.002,-0.6,1247.3120000000001
445,"Switzerland, Liechtenstein",Brunei Darussalam,0.006,1.75,3995.692
446,"Switzerland, Liechtenstein",Brunei Darussalam,0.006,1.54,3995.692
447,Thailand,Brunei Darussalam,0.133,-0.14,5499.867
448,United Kingdom,Brunei Darussalam,0.055999999999999994,1.46,34960.074
449,Australia,Bulgaria,0.14100000000000001,1.58,6158.040999999998
450,Austria,Bulgaria,1.074,1.55,3394.051
451,Belgium,Bulgaria,1.856,1.31,12239.12
452,Canada,Bulgaria,0.036000000000000004,1.62,17531.729000000003
453,China,Bulgaria,465.622,-0.49,411379.754
